Date,GEO,value,Age,Sex,Characteristics
2018-01-06,Canada,6630,all ages,Both sexes,Number of deaths
2018-01-06,Canada,280,0 to 44 years,Both sexes,Number of deaths
2018-01-06,Canada,975,45 to 64 years,Both sexes,Number of deaths
2018-01-06,Canada,2825,65 to 84 years,Both sexes,Number of deaths
2018-01-06,Canada,2545,85 years and over,Both sexes,Number of deaths
2018-01-06,Newfoundland and Labrador,120,all ages,Both sexes,Number of deaths
2018-01-06,Newfoundland and Labrador,5,0 to 44 years,Both sexes,Number of deaths
2018-01-06,Newfoundland and Labrador,15,45 to 64 years,Both sexes,Number of deaths
2018-01-06,Newfoundland and Labrador,70,65 to 84 years,Both sexes,Number of deaths
2018-01-06,Newfoundland and Labrador,30,85 years and over,Both sexes,Number of deaths
2018-01-06,Prince Edward Island,25,all ages,Both sexes,Number of deaths
2018-01-06,Prince Edward Island,5,0 to 44 years,Both sexes,Number of deaths
2018-01-06,Prince Edward Island,5,45 to 64 years,Both sexes,Number of deaths
2018-01-06,Prince Edward Island,10,65 to 84 years,Both sexes,Number of deaths
2018-01-06,Prince Edward Island,10,85 years and over,Both sexes,Number of deaths
2018-01-06,Nova Scotia,205,all ages,Both sexes,Number of deaths
2018-01-06,Nova Scotia,5,0 to 44 years,Both sexes,Number of deaths
2018-01-06,Nova Scotia,30,45 to 64 years,Both sexes,Number of deaths
2018-01-06,Nova Scotia,105,65 to 84 years,Both sexes,Number of deaths
2018-01-06,Nova Scotia,70,85 years and over,Both sexes,Number of deaths
2018-01-06,New Brunswick,180,all ages,Both sexes,Number of deaths
2018-01-06,New Brunswick,5,0 to 44 years,Both sexes,Number of deaths
2018-01-06,New Brunswick,35,45 to 64 years,Both sexes,Number of deaths
2018-01-06,New Brunswick,75,65 to 84 years,Both sexes,Number of deaths
2018-01-06,New Brunswick,70,85 years and over,Both sexes,Number of deaths
2018-01-06,Quebec,1600,all ages,Both sexes,Number of deaths
2018-01-06,Quebec,55,0 to 44 years,Both sexes,Number of deaths
2018-01-06,Quebec,205,45 to 64 years,Both sexes,Number of deaths
2018-01-06,Quebec,695,65 to 84 years,Both sexes,Number of deaths
2018-01-06,Quebec,650,85 years and over,Both sexes,Number of deaths
2018-01-06,Ontario,2465,all ages,Both sexes,Number of deaths
2018-01-06,Ontario,105,0 to 44 years,Both sexes,Number of deaths
2018-01-06,Ontario,365,45 to 64 years,Both sexes,Number of deaths
2018-01-06,Ontario,1055,65 to 84 years,Both sexes,Number of deaths
2018-01-06,Ontario,940,85 years and over,Both sexes,Number of deaths
2018-01-06,Manitoba,280,all ages,Both sexes,Number of deaths
2018-01-06,Manitoba,15,0 to 44 years,Both sexes,Number of deaths
2018-01-06,Manitoba,55,45 to 64 years,Both sexes,Number of deaths
2018-01-06,Manitoba,115,65 to 84 years,Both sexes,Number of deaths
2018-01-06,Manitoba,90,85 years and over,Both sexes,Number of deaths
2018-01-06,Saskatchewan,235,all ages,Both sexes,Number of deaths
2018-01-06,Saskatchewan,5,0 to 44 years,Both sexes,Number of deaths
2018-01-06,Saskatchewan,30,45 to 64 years,Both sexes,Number of deaths
2018-01-06,Saskatchewan,90,65 to 84 years,Both sexes,Number of deaths
2018-01-06,Saskatchewan,105,85 years and over,Both sexes,Number of deaths
2018-01-06,Alberta,630,all ages,Both sexes,Number of deaths
2018-01-06,Alberta,30,0 to 44 years,Both sexes,Number of deaths
2018-01-06,Alberta,105,45 to 64 years,Both sexes,Number of deaths
2018-01-06,Alberta,265,65 to 84 years,Both sexes,Number of deaths
2018-01-06,Alberta,225,85 years and over,Both sexes,Number of deaths
2018-01-06,British Columbia,875,all ages,Both sexes,Number of deaths
2018-01-06,British Columbia,50,0 to 44 years,Both sexes,Number of deaths
2018-01-06,British Columbia,130,45 to 64 years,Both sexes,Number of deaths
2018-01-06,British Columbia,345,65 to 84 years,Both sexes,Number of deaths
2018-01-06,British Columbia,355,85 years and over,Both sexes,Number of deaths
2018-01-06,Yukon,,all ages,Both sexes,Number of deaths
2018-01-06,Yukon,,0 to 44 years,Both sexes,Number of deaths
2018-01-06,Yukon,,45 to 64 years,Both sexes,Number of deaths
2018-01-06,Yukon,,65 to 84 years,Both sexes,Number of deaths
2018-01-06,Yukon,,85 years and over,Both sexes,Number of deaths
2018-01-06,Northwest Territories,5,all ages,Both sexes,Number of deaths
2018-01-06,Northwest Territories,5,0 to 44 years,Both sexes,Number of deaths
2018-01-06,Northwest Territories,0,45 to 64 years,Both sexes,Number of deaths
2018-01-06,Northwest Territories,5,65 to 84 years,Both sexes,Number of deaths
2018-01-06,Northwest Territories,0,85 years and over,Both sexes,Number of deaths
2018-01-06,Nunavut,5,all ages,Both sexes,Number of deaths
2018-01-06,Nunavut,0,0 to 44 years,Both sexes,Number of deaths
2018-01-06,Nunavut,5,45 to 64 years,Both sexes,Number of deaths
2018-01-06,Nunavut,0,65 to 84 years,Both sexes,Number of deaths
2018-01-06,Nunavut,0,85 years and over,Both sexes,Number of deaths
2018-01-13,Canada,6660,all ages,Both sexes,Number of deaths
2018-01-13,Canada,260,0 to 44 years,Both sexes,Number of deaths
2018-01-13,Canada,880,45 to 64 years,Both sexes,Number of deaths
2018-01-13,Canada,2805,65 to 84 years,Both sexes,Number of deaths
2018-01-13,Canada,2720,85 years and over,Both sexes,Number of deaths
2018-01-13,Newfoundland and Labrador,110,all ages,Both sexes,Number of deaths
2018-01-13,Newfoundland and Labrador,0,0 to 44 years,Both sexes,Number of deaths
2018-01-13,Newfoundland and Labrador,20,45 to 64 years,Both sexes,Number of deaths
2018-01-13,Newfoundland and Labrador,55,65 to 84 years,Both sexes,Number of deaths
2018-01-13,Newfoundland and Labrador,35,85 years and over,Both sexes,Number of deaths
2018-01-13,Prince Edward Island,25,all ages,Both sexes,Number of deaths
2018-01-13,Prince Edward Island,5,0 to 44 years,Both sexes,Number of deaths
2018-01-13,Prince Edward Island,0,45 to 64 years,Both sexes,Number of deaths
2018-01-13,Prince Edward Island,15,65 to 84 years,Both sexes,Number of deaths
2018-01-13,Prince Edward Island,10,85 years and over,Both sexes,Number of deaths
2018-01-13,Nova Scotia,190,all ages,Both sexes,Number of deaths
2018-01-13,Nova Scotia,10,0 to 44 years,Both sexes,Number of deaths
2018-01-13,Nova Scotia,35,45 to 64 years,Both sexes,Number of deaths
2018-01-13,Nova Scotia,95,65 to 84 years,Both sexes,Number of deaths
2018-01-13,Nova Scotia,55,85 years and over,Both sexes,Number of deaths
2018-01-13,New Brunswick,185,all ages,Both sexes,Number of deaths
2018-01-13,New Brunswick,5,0 to 44 years,Both sexes,Number of deaths
2018-01-13,New Brunswick,30,45 to 64 years,Both sexes,Number of deaths
2018-01-13,New Brunswick,85,65 to 84 years,Both sexes,Number of deaths
2018-01-13,New Brunswick,60,85 years and over,Both sexes,Number of deaths
2018-01-13,Quebec,1685,all ages,Both sexes,Number of deaths
2018-01-13,Quebec,40,0 to 44 years,Both sexes,Number of deaths
2018-01-13,Quebec,195,45 to 64 years,Both sexes,Number of deaths
2018-01-13,Quebec,740,65 to 84 years,Both sexes,Number of deaths
2018-01-13,Quebec,710,85 years and over,Both sexes,Number of deaths
2018-01-13,Ontario,2560,all ages,Both sexes,Number of deaths
2018-01-13,Ontario,105,0 to 44 years,Both sexes,Number of deaths
2018-01-13,Ontario,355,45 to 64 years,Both sexes,Number of deaths
2018-01-13,Ontario,1050,65 to 84 years,Both sexes,Number of deaths
2018-01-13,Ontario,1050,85 years and over,Both sexes,Number of deaths
2018-01-13,Manitoba,270,all ages,Both sexes,Number of deaths
2018-01-13,Manitoba,10,0 to 44 years,Both sexes,Number of deaths
2018-01-13,Manitoba,35,45 to 64 years,Both sexes,Number of deaths
2018-01-13,Manitoba,100,65 to 84 years,Both sexes,Number of deaths
2018-01-13,Manitoba,120,85 years and over,Both sexes,Number of deaths
