Date,GEO,value,Age,Sex,Characteristics
2018-01-06,Canada,6630,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-06,Canada,3385,"Age at time of death, all ages",Males,Number of deaths
2018-01-06,Canada,3245,"Age at time of death, all ages",Females,Number of deaths
2018-01-06,Canada,280,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-06,Canada,185,"Age at time of death, 0 to 44 years",Males,Number of deaths
2018-01-06,Canada,95,"Age at time of death, 0 to 44 years",Females,Number of deaths
2018-01-06,Canada,975,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-06,Canada,610,"Age at time of death, 45 to 64 years",Males,Number of deaths
2018-01-06,Canada,370,"Age at time of death, 45 to 64 years",Females,Number of deaths
2018-01-06,Canada,2825,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-06,Canada,1565,"Age at time of death, 65 to 84 years",Males,Number of deaths
2018-01-06,Canada,1260,"Age at time of death, 65 to 84 years",Females,Number of deaths
2018-01-06,Canada,2545,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-06,Canada,1030,"Age at time of death, 85 years and over",Males,Number of deaths
2018-01-06,Canada,1515,"Age at time of death, 85 years and over",Females,Number of deaths
2018-01-06,Newfoundland and Labrador,120,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-06,Newfoundland and Labrador,55,"Age at time of death, all ages",Males,Number of deaths
2018-01-06,Newfoundland and Labrador,65,"Age at time of death, all ages",Females,Number of deaths
2018-01-06,Newfoundland and Labrador,5,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-06,Newfoundland and Labrador,0,"Age at time of death, 0 to 44 years",Males,Number of deaths
2018-01-06,Newfoundland and Labrador,0,"Age at time of death, 0 to 44 years",Females,Number of deaths
2018-01-06,Newfoundland and Labrador,15,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-06,Newfoundland and Labrador,5,"Age at time of death, 45 to 64 years",Males,Number of deaths
2018-01-06,Newfoundland and Labrador,10,"Age at time of death, 45 to 64 years",Females,Number of deaths
2018-01-06,Newfoundland and Labrador,70,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-06,Newfoundland and Labrador,35,"Age at time of death, 65 to 84 years",Males,Number of deaths
2018-01-06,Newfoundland and Labrador,35,"Age at time of death, 65 to 84 years",Females,Number of deaths
2018-01-06,Newfoundland and Labrador,30,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-06,Newfoundland and Labrador,15,"Age at time of death, 85 years and over",Males,Number of deaths
2018-01-06,Newfoundland and Labrador,15,"Age at time of death, 85 years and over",Females,Number of deaths
2018-01-06,Prince Edward Island,25,"Age at time of death, all ages",Both sexes,Number of deaths
2018-01-06,Prince Edward Island,15,"Age at time of death, all ages",Males,Number of deaths
2018-01-06,Prince Edward Island,10,"Age at time of death, all ages",Females,Number of deaths
2018-01-06,Prince Edward Island,5,"Age at time of death, 0 to 44 years",Both sexes,Number of deaths
2018-01-06,Prince Edward Island,0,"Age at time of death, 0 to 44 years",Males,Number of deaths
2018-01-06,Prince Edward Island,0,"Age at time of death, 0 to 44 years",Females,Number of deaths
2018-01-06,Prince Edward Island,5,"Age at time of death, 45 to 64 years",Both sexes,Number of deaths
2018-01-06,Prince Edward Island,0,"Age at time of death, 45 to 64 years",Males,Number of deaths
2018-01-06,Prince Edward Island,5,"Age at time of death, 45 to 64 years",Females,Number of deaths
2018-01-06,Prince Edward Island,10,"Age at time of death, 65 to 84 years",Both sexes,Number of deaths
2018-01-06,Prince Edward Island,5,"Age at time of death, 65 to 84 years",Males,Number of deaths
2018-01-06,Prince Edward Island,5,"Age at time of death, 65 to 84 years",Females,Number of deaths
2018-01-06,Prince Edward Island,10,"Age at time of death, 85 years and over",Both sexes,Number of deaths
2018-01-06,Prince Edward Island,5,"Age at time of death, 85 years and over",Males,Number of deaths
2018-01-06,Prince Edward Island,5,"Age at time of death, 85 years and over",Females,Number of deaths
