Date,GEO,value,Age,Sex
2018-01-06,New Brunswick,180,all ages,Both sexes
2018-01-06,New Brunswick,90,all ages,Males
2018-01-06,New Brunswick,95,all ages,Females
2018-01-06,New Brunswick,5,0 to 44 years,Both sexes
2018-01-06,New Brunswick,0,0 to 44 years,Males
2018-01-06,New Brunswick,5,0 to 44 years,Females
2018-01-06,New Brunswick,35,45 to 64 years,Both sexes
2018-01-06,New Brunswick,20,45 to 64 years,Males
2018-01-06,New Brunswick,15,45 to 64 years,Females
2018-01-06,New Brunswick,75,65 to 84 years,Both sexes
2018-01-06,New Brunswick,40,65 to 84 years,Males
2018-01-06,New Brunswick,35,65 to 84 years,Females
2018-01-06,New Brunswick,70,85 years and over,Both sexes
2018-01-06,New Brunswick,30,85 years and over,Males
2018-01-06,New Brunswick,40,85 years and over,Females
2018-01-13,New Brunswick,185,all ages,Both sexes
2018-01-13,New Brunswick,95,all ages,Males
2018-01-13,New Brunswick,90,all ages,Females
2018-01-13,New Brunswick,5,0 to 44 years,Both sexes
2018-01-13,New Brunswick,5,0 to 44 years,Males
2018-01-13,New Brunswick,0,0 to 44 years,Females
2018-01-13,New Brunswick,30,45 to 64 years,Both sexes
2018-01-13,New Brunswick,20,45 to 64 years,Males
2018-01-13,New Brunswick,10,45 to 64 years,Females
2018-01-13,New Brunswick,85,65 to 84 years,Both sexes
2018-01-13,New Brunswick,50,65 to 84 years,Males
2018-01-13,New Brunswick,40,65 to 84 years,Females
2018-01-13,New Brunswick,60,85 years and over,Both sexes
2018-01-13,New Brunswick,20,85 years and over,Males
2018-01-13,New Brunswick,45,85 years and over,Females
2018-01-20,New Brunswick,175,all ages,Both sexes
2018-01-20,New Brunswick,95,all ages,Males
2018-01-20,New Brunswick,75,all ages,Females
2018-01-20,New Brunswick,10,0 to 44 years,Both sexes
2018-01-20,New Brunswick,5,0 to 44 years,Males
2018-01-20,New Brunswick,0,0 to 44 years,Females
2018-01-20,New Brunswick,25,45 to 64 years,Both sexes
2018-01-20,New Brunswick,20,45 to 64 years,Males
2018-01-20,New Brunswick,10,45 to 64 years,Females
2018-01-20,New Brunswick,65,65 to 84 years,Both sexes
2018-01-20,New Brunswick,50,65 to 84 years,Males
2018-01-20,New Brunswick,20,65 to 84 years,Females
2018-01-20,New Brunswick,70,85 years and over,Both sexes
2018-01-20,New Brunswick,25,85 years and over,Males
2018-01-20,New Brunswick,45,85 years and over,Females
2018-01-27,New Brunswick,150,all ages,Both sexes
2018-01-27,New Brunswick,65,all ages,Males
2018-01-27,New Brunswick,85,all ages,Females
2018-01-27,New Brunswick,5,0 to 44 years,Both sexes
2018-01-27,New Brunswick,5,0 to 44 years,Males
2018-01-27,New Brunswick,0,0 to 44 years,Females
2018-01-27,New Brunswick,25,45 to 64 years,Both sexes
2018-01-27,New Brunswick,15,45 to 64 years,Males
2018-01-27,New Brunswick,15,45 to 64 years,Females
2018-01-27,New Brunswick,70,65 to 84 years,Both sexes
2018-01-27,New Brunswick,35,65 to 84 years,Males
2018-01-27,New Brunswick,35,65 to 84 years,Females
2018-01-27,New Brunswick,60,85 years and over,Both sexes
2018-01-27,New Brunswick,20,85 years and over,Males
2018-01-27,New Brunswick,45,85 years and over,Females
2018-02-03,New Brunswick,155,all ages,Both sexes
2018-02-03,New Brunswick,80,all ages,Males
2018-02-03,New Brunswick,75,all ages,Females
2018-02-03,New Brunswick,5,0 to 44 years,Both sexes
2018-02-03,New Brunswick,5,0 to 44 years,Males
2018-02-03,New Brunswick,0,0 to 44 years,Females
2018-02-03,New Brunswick,20,45 to 64 years,Both sexes
2018-02-03,New Brunswick,10,45 to 64 years,Males
2018-02-03,New Brunswick,5,45 to 64 years,Females
2018-02-03,New Brunswick,80,65 to 84 years,Both sexes
2018-02-03,New Brunswick,45,65 to 84 years,Males
2018-02-03,New Brunswick,30,65 to 84 years,Females
2018-02-03,New Brunswick,50,85 years and over,Both sexes
2018-02-03,New Brunswick,15,85 years and over,Males
2018-02-03,New Brunswick,35,85 years and over,Females
2018-02-10,New Brunswick,135,all ages,Both sexes
2018-02-10,New Brunswick,70,all ages,Males
2018-02-10,New Brunswick,65,all ages,Females
2018-02-10,New Brunswick,10,0 to 44 years,Both sexes
2018-02-10,New Brunswick,5,0 to 44 years,Males
2018-02-10,New Brunswick,0,0 to 44 years,Females
2018-02-10,New Brunswick,25,45 to 64 years,Both sexes
2018-02-10,New Brunswick,20,45 to 64 years,Males
2018-02-10,New Brunswick,5,45 to 64 years,Females
2018-02-10,New Brunswick,55,65 to 84 years,Both sexes
2018-02-10,New Brunswick,40,65 to 84 years,Males
2018-02-10,New Brunswick,20,65 to 84 years,Females
2018-02-10,New Brunswick,45,85 years and over,Both sexes
2018-02-10,New Brunswick,10,85 years and over,Males
2018-02-10,New Brunswick,35,85 years and over,Females
2018-02-17,New Brunswick,165,all ages,Both sexes
2018-02-17,New Brunswick,75,all ages,Males
2018-02-17,New Brunswick,85,all ages,Females
2018-02-17,New Brunswick,5,0 to 44 years,Both sexes
2018-02-17,New Brunswick,0,0 to 44 years,Males
2018-02-17,New Brunswick,0,0 to 44 years,Females
2018-02-17,New Brunswick,25,45 to 64 years,Both sexes
2018-02-17,New Brunswick,15,45 to 64 years,Males
2018-02-17,New Brunswick,10,45 to 64 years,Females
2018-02-17,New Brunswick,75,65 to 84 years,Both sexes
2018-02-17,New Brunswick,35,65 to 84 years,Males
2018-02-17,New Brunswick,40,65 to 84 years,Females
2018-02-17,New Brunswick,55,85 years and over,Both sexes
2018-02-17,New Brunswick,25,85 years and over,Males
2018-02-17,New Brunswick,30,85 years and over,Females
2018-02-24,New Brunswick,160,all ages,Both sexes
2018-02-24,New Brunswick,80,all ages,Males
2018-02-24,New Brunswick,80,all ages,Females
2018-02-24,New Brunswick,10,0 to 44 years,Both sexes
2018-02-24,New Brunswick,5,0 to 44 years,Males
2018-02-24,New Brunswick,5,0 to 44 years,Females
2018-02-24,New Brunswick,20,45 to 64 years,Both sexes
2018-02-24,New Brunswick,15,45 to 64 years,Males
2018-02-24,New Brunswick,10,45 to 64 years,Females
2018-02-24,New Brunswick,70,65 to 84 years,Both sexes
2018-02-24,New Brunswick,45,65 to 84 years,Males
2018-02-24,New Brunswick,30,65 to 84 years,Females
2018-02-24,New Brunswick,55,85 years and over,Both sexes
2018-02-24,New Brunswick,20,85 years and over,Males
2018-02-24,New Brunswick,35,85 years and over,Females
2018-03-03,New Brunswick,145,all ages,Both sexes
2018-03-03,New Brunswick,65,all ages,Males
2018-03-03,New Brunswick,80,all ages,Females
2018-03-03,New Brunswick,5,0 to 44 years,Both sexes
2018-03-03,New Brunswick,5,0 to 44 years,Males
2018-03-03,New Brunswick,0,0 to 44 years,Females
2018-03-03,New Brunswick,20,45 to 64 years,Both sexes
2018-03-03,New Brunswick,15,45 to 64 years,Males
2018-03-03,New Brunswick,5,45 to 64 years,Females
2018-03-03,New Brunswick,65,65 to 84 years,Both sexes
2018-03-03,New Brunswick,30,65 to 84 years,Males
2018-03-03,New Brunswick,35,65 to 84 years,Females
2018-03-03,New Brunswick,55,85 years and over,Both sexes
2018-03-03,New Brunswick,20,85 years and over,Males
2018-03-03,New Brunswick,40,85 years and over,Females
2018-03-10,New Brunswick,140,all ages,Both sexes
2018-03-10,New Brunswick,75,all ages,Males
2018-03-10,New Brunswick,65,all ages,Females
2018-03-10,New Brunswick,0,0 to 44 years,Both sexes
2018-03-10,New Brunswick,0,0 to 44 years,Males
2018-03-10,New Brunswick,0,0 to 44 years,Females
2018-03-10,New Brunswick,25,45 to 64 years,Both sexes
2018-03-10,New Brunswick,10,45 to 64 years,Males
2018-03-10,New Brunswick,10,45 to 64 years,Females
